# FFT of scope (Hann); dt=3.361082430e-12; N=800
freq_Hz,mag
4.537228800008e+10,3.366466711447e-06
4.574419200008e+10,3.424916792934e-06
4.611609600008e+10,3.188921970647e-06
4.648800000008e+10,3.198872606187e-06
4.685990400008e+10,3.111837564232e-06
4.723180800009e+10,2.999135149509e-06
4.760371200009e+10,2.931366359044e-06
4.797561600009e+10,2.858457027420e-06
4.834752000009e+10,2.787229402263e-06
4.871942400009e+10,2.718048898541e-06
4.909132800009e+10,2.650935978358e-06
4.946323200009e+10,2.585844284646e-06
4.983513600009e+10,2.522710490493e-06
5.020704000009e+10,2.461467459713e-06
5.057894400009e+10,2.402048270515e-06
5.095084800009e+10,2.344387681887e-06
5.132275200009e+10,2.288422687592e-06
5.169465600009e+10,2.234092665292e-06
5.206656000009e+10,2.181339419459e-06
5.243846400009e+10,2.130107129372e-06
5.281036800010e+10,2.080342253858e-06
5.318227200010e+10,2.031993473254e-06
5.355417600010e+10,1.985011560468e-06
5.392608000010e+10,1.939349322411e-06
5.429798400010e+10,1.894961472601e-06
5.466988800010e+10,1.851804587052e-06
5.504179200010e+10,1.809836970785e-06
5.541369600010e+10,1.769018607940e-06
5.578560000010e+10,1.729311097428e-06
5.615750400010e+10,1.690677519187e-06
5.652940800010e+10,1.653082467300e-06
5.690131200010e+10,1.616491858103e-06
5.727321600010e+10,1.580872966167e-06
5.764512000010e+10,1.546194330902e-06
5.801702400010e+10,1.512425686923e-06
5.838892800011e+10,1.479537945907e-06
5.876083200011e+10,1.447503092175e-06
5.913273600011e+10,1.416294192215e-06
5.950464000011e+10,1.385885311248e-06
5.987654400011e+10,1.356251487641e-06
6.024844800011e+10,1.327368663404e-06
6.062035200011e+10,1.299213694725e-06
6.099225600011e+10,1.271764252197e-06
6.136416000011e+10,1.244998858438e-06
6.173606400011e+10,1.218896781567e-06
6.210796800011e+10,1.193438031566e-06
6.247987200011e+10,1.168603354944e-06
6.285177600011e+10,1.144374168020e-06
6.322368000011e+10,1.120732544664e-06
6.359558400011e+10,1.097661195156e-06
6.396748800012e+10,1.075143420129e-06
6.433939200012e+10,1.053163114908e-06
6.471129600012e+10,1.031704721306e-06
6.508320000012e+10,1.010753213554e-06
6.545510400012e+10,9.902940879821e-07
6.582700800012e+10,9.703133297472e-07
6.619891200012e+10,9.507973935236e-07
6.657081600012e+10,9.317331936847e-07
6.694272000012e+10,9.131080701093e-07
6.731462400012e+10,8.949098006299e-07
6.768652800012e+10,8.771265623988e-07
6.805843200012e+10,8.597469005610e-07
6.843033600012e+10,8.427597673647e-07
6.880224000012e+10,8.261544517818e-07
6.917414400013e+10,8.099206069818e-07
6.954604800013e+10,7.940481979086e-07
6.991795200013e+10,7.785275095446e-07
7.028985600013e+10,7.633491665447e-07
7.066176000013e+10,7.485040779425e-07
7.103366400013e+10,7.339834017682e-07
7.140556800013e+10,7.197786398821e-07
7.177747200013e+10,7.058815168446e-07
7.214937600013e+10,6.922839895193e-07
7.252128000013e+10,6.789783249168e-07
7.289318400013e+10,6.659570096341e-07
7.326508800013e+10,6.532127225518e-07
7.363699200013e+10,6.407384105966e-07
7.400889600013e+10,6.285272067154e-07
7.438080000013e+10,6.165724612228e-07
7.475270400014e+10,6.048677297302e-07
7.512460800014e+10,5.934067432705e-07
7.549651200014e+10,5.821834417552e-07
7.586841600014e+10,5.711919159475e-07
7.624032000014e+10,5.604264626918e-07
7.661222400014e+10,5.498815234758e-07
7.698412800014e+10,5.395517090939e-07
7.735603200014e+10,5.294317703165e-07
7.772793600014e+10,5.195166638259e-07
7.809984000014e+10,5.098014177434e-07
7.847174400014e+10,5.002812559815e-07
7.884364800014e+10,4.909515148157e-07
7.921555200014e+10,4.818076788262e-07
7.958745600014e+10,4.728453236503e-07
7.995936000014e+10,4.640601962964e-07
8.033126400015e+10,4.554481506184e-07
8.070316800015e+10,4.470051355346e-07
8.107507200015e+10,4.387272248362e-07
8.144697600015e+10,4.306106021032e-07
8.181888000015e+10,4.226515607973e-07
8.219078400015e+10,4.148464850753e-07
8.256268800015e+10,4.071918468731e-07
8.293459200015e+10,3.996842703584e-07
8.330649600015e+10,3.923204082537e-07
8.367840000015e+10,3.850970075775e-07
8.405030400015e+10,3.780109321955e-07
8.442220800015e+10,3.710591336911e-07
8.479411200015e+10,3.642386182838e-07
8.516601600015e+10,3.575464761679e-07
8.553792000015e+10,3.509798937058e-07
8.590982400016e+10,3.445361129389e-07
8.628172800016e+10,3.382124549909e-07
8.665363200016e+10,3.320062987373e-07
8.702553600016e+10,3.259151123120e-07
8.739744000016e+10,3.199364213040e-07
8.776934400016e+10,3.140678119282e-07
8.814124800016e+10,3.083069191924e-07
8.851315200016e+10,3.026514652207e-07
8.888505600016e+10,2.970992195116e-07
8.925696000016e+10,2.916479972389e-07
8.962886400016e+10,2.862956821249e-07
9.000076800016e+10,2.810402045674e-07
9.037267200016e+10,2.758795531034e-07
9.074457600016e+10,2.708117449510e-07
9.111648000016e+10,2.658348908414e-07
9.148838400017e+10,2.609471030580e-07
9.186028800017e+10,2.561465623107e-07
9.223219200017e+10,2.514314993533e-07
9.260409600017e+10,2.468001516040e-07
9.297600000017e+10,2.422508670047e-07
9.334790400017e+10,2.377819773937e-07
9.371980800017e+10,2.333918508630e-07
9.409171200017e+10,2.290789478386e-07
9.446361600017e+10,2.248417155357e-07
9.483552000017e+10,2.206786658601e-07
9.520742400017e+10,2.165883278030e-07
9.557932800017e+10,2.125692923175e-07
9.595123200017e+10,2.086201417354e-07
9.632313600017e+10,2.047395288576e-07
9.669504000017e+10,2.009261417343e-07
9.706694400018e+10,1.971786497264e-07
9.743884800018e+10,1.934958116843e-07
9.781075200018e+10,1.898763881222e-07
9.818265600018e+10,1.863191632320e-07
9.855456000018e+10,1.828229575071e-07
9.892646400018e+10,1.793866271386e-07
9.929836800018e+10,1.760090406800e-07
9.967027200018e+10,1.726890816601e-07
1.000421760002e+11,1.694257173782e-07
1.004140800002e+11,1.662178528103e-07
1.007859840002e+11,1.630644885777e-07
1.011578880002e+11,1.599646091313e-07
1.015297920002e+11,1.569172300865e-07
1.019016960002e+11,1.539214066414e-07
1.022736000002e+11,1.509761892392e-07
1.026455040002e+11,1.480806639632e-07
1.030174080002e+11,1.452339824278e-07
1.033893120002e+11,1.424351339188e-07
1.037612160002e+11,1.396833917460e-07
1.041331200002e+11,1.369778821293e-07
1.045050240002e+11,1.343177756553e-07
1.048769280002e+11,1.317022831251e-07
1.052488320002e+11,1.291305875088e-07
1.056207360002e+11,1.266019673145e-07
1.059926400002e+11,1.241156523213e-07
1.063645440002e+11,1.216708853113e-07
1.067364480002e+11,1.192669961211e-07
1.071083520002e+11,1.169032454542e-07
1.074802560002e+11,1.145789475357e-07
1.078521600002e+11,1.122934361876e-07
1.082240640002e+11,1.100460630580e-07
1.085959680002e+11,1.078361705095e-07
1.089678720002e+11,1.056631266340e-07
1.093397760002e+11,1.035263094029e-07
1.097116800002e+11,1.014251328572e-07
1.100835840002e+11,9.935898270531e-08
1.104554880002e+11,9.732727279410e-08
1.108273920002e+11,9.532946690574e-08
1.111992960002e+11,9.336497989539e-08
1.115712000002e+11,9.143328203441e-08
1.119431040002e+11,8.953381976704e-08
1.123150080002e+11,8.766609260249e-08
1.126869120002e+11,8.582957081503e-08
1.130588160002e+11,8.402376582263e-08
1.134307200002e+11,8.224815251715e-08
1.138026240002e+11,8.050231265914e-08
1.141745280002e+11,7.878571763365e-08
1.145464320002e+11,7.709790302691e-08
1.149183360002e+11,7.543843577791e-08
1.152902400002e+11,7.380686055808e-08
1.156621440002e+11,7.220272974984e-08
1.160340480002e+11,7.062562178923e-08
1.164059520002e+11,6.907512562001e-08
